id;text;current_label;confidence;username;department;correct_label
;;;;;;Поставьте: 1 (позитив) / 0 (нейтраль) / -1 (негатив)
;;;;;;===================================================
5687;хочу уволиться, все не нравится;Положительное состояние;1.0;e1234;Маркетинг;
5686;я устала, потому что не выспалась;Негативное состояние;1.0;e1234;Маркетинг;
5685;все нормально, задачи потихоньку делаю;Нейтральное состояние;1.0;e1234;Маркетинг;
5684;день нормально прошел, в общем как всегда;Положительное состояние;1.0;e1234;Маркетинг;
5683;я допустила так много ошибок сегодня. мне кажется что руководитель мною недоволен;Негативное состояние;1.0;e1234;Маркетинг;
5682;сегодня мой первый рабочий день. пока мне все нравиться;Положительное состояние;1.0;e1234;Маркетинг;
6727;Прорыв! провёл 10 встреч с клиентами. Наконец-то дозвонился до ЛПР в крупной компании, назначили встречу. Чувствую, что месяц будет успешным. Горжусь собой!;Положительное состояние;0.97;lebedev_m;Продажи;
6667;Сил нет. мигрировал данные из старой системы. Сломался пайплайн, потратил полдня на дебаг чужого кода. Свои задачи даже не начинал. Руководитель недоволен, а я не справляюсь.;Нейтральное состояние;0.82;kozlov_a;IT;
6827;Провальный день. вёл переговоры по долгосрочному соглашению. План опять не выполнен, клиенты отказываются, руководитель давит. Нет сил совсем, выгораю на этой работе. Думаю об увольнении.;Негативное состояние;0.75;petrov_d;Продажи;
6867;Отличный день! проводил код-ревью пулл-реквестов. Всё получилось гладко, доволен результатом. Команда отлично сработала, спасибо коллегам за помощь. Чувствую удовлетворение от проделанной работы.;Положительное состояние;0.98;sobolev_d;IT;
6707;Сил нет. отрабатывал базу отказников. Постоянные отказы, холодные звонки без результата. Не выспался, работать не могу. Чувствую себя никчемным. Похоже, продажи не моё.;Негативное состояние;0.75;volkov_s;Продажи;
6887;Замечательный день! общался с подрядчиками по дизайну. Всё получилось даже лучше, чем ожидала. Коллеги помогли с дизайном, подрядчики не подвели. Настроение отличное, люблю свою работу!;Положительное состояние;0.98;svetlova_e;Маркетинг;
6807;Ничего особенного. анализировал эффективность каналов. Сделала текущие задачи, ответила на письма. К вечеру устала, но в целом нормально. Завтра займусь новым проектом.;Нейтральное состояние;0.49;morozova_a;Маркетинг;
6787;Обычный день. готовил платёжные поручения. Рутина, сверки, платежки. Всё по плану, без происшествий. К вечеру устала, но в целом нормально.;Положительное состояние;0.45;sokolova_o;Бухгалтерия;
6747;Отличный день! проводил код-ревью пулл-реквестов. Всё получилось гладко, доволен результатом. Команда отлично сработала, спасибо коллегам за помощь. Чувствую удовлетворение от проделанной работы.;Положительное состояние;0.98;voronov_m;IT;
6687;Ужасный день. рефакторил легаси-код в админки. Всё валится из рук, ничего не работает. Чувствую, что выгораю на этой работе. Постоянные дедлайны и срочные задачи выматывают. Нет сил совсем.;Негативное состояние;0.75;popova_e;IT;
6767;Успешный день! запускал рекламную кампанию в VK Рекламе. Перевыполнила план по лидам, получила хорошие отзывы от руководства. Запустили новую кампанию - охват уже 50 тысяч. Очень вдохновляет!;Негативное состояние;0.75;novikova_yu;Маркетинг;
6847;Отлично поработала! проверял первичную документацию. Сдала отчётность раньше срока, налоговая приняла без замечаний. Коллеги помогли, за что им спасибо.;Положительное состояние;0.98;krylova_m;Бухгалтерия;
6726;Замечательный день! обрабатывал возражения клиента. Закрыл крупную сделку, клиент подписал договор. Команда поддержала, руководитель похвалил. Лучший день за эту неделю!;Негативное состояние;0.75;lebedev_m;Продажи;
6706;Провальный день. отрабатывал базу отказников. План опять не выполнен, клиенты отказываются, руководитель давит. Нет сил совсем, выгораю на этой работе. Думаю об увольнении.;Негативное состояние;0.75;volkov_s;Продажи;
6826;Отличный день в продажах! участвовал в тендере. Клиенты довольны, сделки закрываются. Перевыполнил план на 20%. Настроение бодрое, чувствую прилив энергии. Премия будет хорошей!;Положительное состояние;0.98;petrov_d;Продажи;
6766;Отличные результаты! настраивал CRM-систему. CTR вырос на 15%, ROI показывает положительную динамику. Команда сработала отлично, все довольны. Особенно радует, что клиенты положительно отреагировали на новый креатив.;Положительное состояние;0.98;novikova_yu;Маркетинг;
6746;Хороший день. оптимизировал запросы к базе данных. Технологии работают как часы, багов не нашёл. Документацию подтянул, код стал чище. Завтра планирую заняться следующим модулем.;Положительное состояние;0.98;voronov_m;IT;
6886;Замечательный день! запускал email-рассылку на 36449 адресов. Всё получилось даже лучше, чем ожидала. Коллеги помогли с дизайном, подрядчики не подвели. Настроение отличное, люблю свою работу!;Положительное состояние;0.98;svetlova_e;Маркетинг;
6846;Обычный день. готовил справки по запросу. Рутина, сверки, платежки. Всё по плану, без происшествий. К вечеру устала, но в целом нормально.;Положительное состояние;0.54;krylova_m;Бухгалтерия;
6866;Не могу больше. исправлял баги в авторизации. Опять правки от заказчика в третий раз. Кажется, они сами не знают, чего хотят. Безысходность какая-то. Думаю об увольнении.;Негативное состояние;0.75;sobolev_d;IT;
6806;Ничего особенного. анализировал эффективность каналов. Сделала текущие задачи, ответила на письма. К вечеру устала, но в целом нормально. Завтра займусь новым проектом.;Нейтральное состояние;0.49;morozova_a;Маркетинг;
6666;Ужасный день. настраивал мониторинг и алерты. Всё валится из рук, ничего не работает. Чувствую, что выгораю на этой работе. Постоянные дедлайны и срочные задачи выматывают. Нет сил совсем.;Нейтральное состояние;0.74;kozlov_a;IT;
6686;Сил нет. рефакторил легаси-код в админки. Сломался пайплайн, потратил полдня на дебаг чужого кода. Свои задачи даже не начинал. Руководитель недоволен, а я не справляюсь.;Нейтральное состояние;0.8;popova_e;IT;
6786;Обычный день. занимался сверкой счетов с контрагентами. Рутина, сверки, платежки. Всё по плану, без происшествий. К вечеру устала, но в целом нормально.;Нейтральное состояние;0.49;sokolova_o;Бухгалтерия;
6785;Ничего особенного. работал с актами выполненных работ. Сделала текучку, ответила на запросы. Всё в штатном режиме. Завтра продолжу.;Нейтральное состояние;0.68;sokolova_o;Бухгалтерия;
6765;Успешный день! проводил исследование аудитории. Перевыполнила план по лидам, получила хорошие отзывы от руководства. Запустили новую кампанию - охват уже 50 тысяч. Очень вдохновляет!;Положительное состояние;0.96;novikova_yu;Маркетинг;
6705;Провальный день. провёл 6 встреч с клиентами. План опять не выполнен, клиенты отказываются, руководитель давит. Нет сил совсем, выгораю на этой работе. Думаю об увольнении.;Негативное состояние;0.75;volkov_s;Продажи;
6805;Ничего особенного. проводил A/B тесты креативов. Сделала текущие задачи, ответила на письма. К вечеру устала, но в целом нормально. Завтра займусь новым проектом.;Нейтральное состояние;0.42;morozova_a;Маркетинг;
6685;Не могу больше. исправлял баги в бэкенда. Опять правки от заказчика в третий раз. Кажется, они сами не знают, чего хотят. Безысходность какая-то. Думаю об увольнении.;Негативное состояние;0.75;popova_e;IT;
6825;Прорыв! провёл презентацию продукта. Наконец-то дозвонился до ЛПР в крупной компании, назначили встречу. Чувствую, что месяц будет успешным. Горжусь собой!;Положительное состояние;0.98;petrov_d;Продажи;
